category,accuracy,grp_size,gt_id,run_id
carcass,0.7272727272727273,11,47731332-c84e-4a9-GT_TOPIC_carcass,47731332-c84e-4a9
copper,0.5909090909090909,44,47731332-c84e-4a9-GT_TOPIC_copper,47731332-c84e-4a9
tin,1.0,27,47731332-c84e-4a9-GT_TOPIC_tin,47731332-c84e-4a9
dlr,1.0,6,47731332-c84e-4a9-GT_TOPIC_dlr,47731332-c84e-4a9
groundnut,1.0,2,47731332-c84e-4a9-GT_TOPIC_groundnut,47731332-c84e-4a9
acq,0.5095986038394416,2292,47731332-c84e-4a9-GT_TOPIC_acq,47731332-c84e-4a9
alum,0.84,50,47731332-c84e-4a9-GT_TOPIC_alum,47731332-c84e-4a9
iron-steel,0.9473684210526315,38,47731332-c84e-4a9-GT_TOPIC_iron-steel,47731332-c84e-4a9
money-supply,0.5165562913907285,151,47731332-c84e-4a9-GT_TOPIC_money-supply,47731332-c84e-4a9
silver,0.75,4,47731332-c84e-4a9-GT_TOPIC_silver,47731332-c84e-4a9
cotton,0.8333333333333334,24,47731332-c84e-4a9-GT_TOPIC_cotton,47731332-c84e-4a9
wpi,0.8695652173913043,23,47731332-c84e-4a9-GT_TOPIC_wpi,47731332-c84e-4a9
lumber,0.9285714285714286,14,47731332-c84e-4a9-GT_TOPIC_lumber,47731332-c84e-4a9
nzdlr,1.0,1,47731332-c84e-4a9-GT_TOPIC_nzdlr,47731332-c84e-4a9
coconut,1.0,1,47731332-c84e-4a9-GT_TOPIC_coconut,47731332-c84e-4a9
earn,0.574050471577874,3923,47731332-c84e-4a9-GT_TOPIC_earn,47731332-c84e-4a9
propane,1.0,1,47731332-c84e-4a9-GT_TOPIC_propane,47731332-c84e-4a9
orange,0.6363636363636364,22,47731332-c84e-4a9-GT_TOPIC_orange,47731332-c84e-4a9
jet,1.0,3,47731332-c84e-4a9-GT_TOPIC_jet,47731332-c84e-4a9
rand,1.0,1,47731332-c84e-4a9-GT_TOPIC_rand,47731332-c84e-4a9
fuel,0.5454545454545454,11,47731332-c84e-4a9-GT_TOPIC_fuel,47731332-c84e-4a9
interest,0.5845588235294118,272,47731332-c84e-4a9-GT_TOPIC_interest,47731332-c84e-4a9
money-fx,0.7087378640776699,309,47731332-c84e-4a9-GT_TOPIC_money-fx,47731332-c84e-4a9
livestock,0.6818181818181818,22,47731332-c84e-4a9-GT_TOPIC_livestock,47731332-c84e-4a9
naphtha,1.0,1,47731332-c84e-4a9-GT_TOPIC_naphtha,47731332-c84e-4a9
hog,1.0,1,47731332-c84e-4a9-GT_TOPIC_hog,47731332-c84e-4a9
ipi,0.6444444444444445,45,47731332-c84e-4a9-GT_TOPIC_ipi,47731332-c84e-4a9
instal-debt,0.8333333333333334,6,47731332-c84e-4a9-GT_TOPIC_instal-debt,47731332-c84e-4a9
crude,0.7272727272727273,374,47731332-c84e-4a9-GT_TOPIC_crude,47731332-c84e-4a9
heat,0.7,10,47731332-c84e-4a9-GT_TOPIC_heat,47731332-c84e-4a9
retail,0.55,20,47731332-c84e-4a9-GT_TOPIC_retail,47731332-c84e-4a9
yen,1.0,6,47731332-c84e-4a9-GT_TOPIC_yen,47731332-c84e-4a9
pet-chem,0.8421052631578947,19,0f6451cf-44b5-45d-GT_TOPIC_pet-chem,0f6451cf-44b5-45d
ship,0.8333333333333334,144,0f6451cf-44b5-45d-GT_TOPIC_ship,0f6451cf-44b5-45d
